         6205180 function calls (6143189 primitive calls) in 2618.830 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
      100    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(amax)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
      106    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(atleast_1d)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
      103    0.000    0.000    0.070    0.001 <__array_function__ internals>:2(bincount)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      160    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(column_stack)
      385    0.001    0.000    0.107    0.000 <__array_function__ internals>:2(concatenate)
      220    0.000    0.000    0.016    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(cumsum)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(delete)
        3    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(insert)
        1    0.000    0.000    0.005    0.005 <__array_function__ internals>:2(lexsort)
       31    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(mean)
        3    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(moveaxis)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
      109    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(prod)
        3    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(putmask)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(reshape)
       31    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
        2    0.000    0.000    0.393    0.196 <__array_function__ internals>:2(stack)
      405    0.000    0.000    0.028    0.000 <__array_function__ internals>:2(sum)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(trim_zeros)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(unique)
        4    0.000    0.000    0.016    0.004 <__array_function__ internals>:2(vstack)
