         8319170 function calls (8259836 primitive calls) in 50.108 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(append)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(argsort)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_2d)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(bincount)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      160    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(column_stack)
      192    0.000    0.000    0.036    0.000 <__array_function__ internals>:2(concatenate)
      118    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(copyto)
        5    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(delete)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(in1d)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(insert)
       30    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(moveaxis)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ravel)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(setdiff1d)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
       10    0.000    0.000    0.035    0.004 <__array_function__ internals>:2(vstack)
       29    0.000    0.000    0.051    0.002 <frozen importlib._bootstrap>:1002(_gcd_import)
 1424/566    0.003    0.000    0.761    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     2281    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     1149    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
     1149    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:147(__enter__)
     1149    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:151(__exit__)
     2281    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1151    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:176(cb)
     1132    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   1491/7    0.001    0.000    1.815    0.259 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    13617    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
